game,noise,discount,delta,mean,lower,upper
0,5,1.0,0.01,1.0,1.0,1.0
0,10,1.0,0.01,1.0,1.0,1.0
0,50,1.0,0.01,1.0,1.0,1.0
0,5,0.75,0.01,1.0,1.0,1.0
0,10,0.75,0.01,1.0,1.0,1.0
0,50,0.75,0.01,1.0,1.0,1.0
0,5,0.5,0.01,1.0,1.0,1.0
0,10,0.5,0.01,1.0,1.0,1.0
0,50,0.5,0.01,1.0,1.0,1.0
0,5,0.25,0.01,1.0,1.0,1.0
0,10,0.25,0.01,0.94,0.8926400636260718,0.987359936373928
0,50,0.25,0.01,0.96,0.9209215643219727,0.9990784356780272
1,5,1.0,0.01,1.0,1.0,1.0
1,10,1.0,0.01,1.0,1.0,1.0
1,50,1.0,0.01,1.0,1.0,1.0
1,5,0.75,0.01,1.0,1.0,1.0
1,10,0.75,0.01,1.0,1.0,1.0
1,50,0.75,0.01,1.0,1.0,1.0
1,5,0.5,0.01,1.0,1.0,1.0
1,10,0.5,0.01,1.0,1.0,1.0
1,50,0.5,0.01,1.0,1.0,1.0
1,5,0.25,0.01,0.91,0.852929259298055,0.9670707407019451
1,10,0.25,0.01,0.99,0.9701578304849132,1.0098421695150868
1,50,0.25,0.01,1.0,1.0,1.0
0,5,1.0,0.01,1.0,1.0,1.0
0,10,1.0,0.01,1.0,1.0,1.0
0,50,1.0,0.01,1.0,1.0,1.0
0,5,0.75,0.01,1.0,1.0,1.0
0,10,0.75,0.01,1.0,1.0,1.0
0,50,0.75,0.01,1.0,1.0,1.0
0,5,0.5,0.01,1.0,1.0,1.0
0,10,0.5,0.01,1.0,1.0,1.0
0,50,0.5,0.01,1.0,1.0,1.0
0,5,0.25,0.01,1.0,1.0,1.0
0,10,0.25,0.01,1.0,1.0,1.0
0,50,0.25,0.01,1.0,1.0,1.0
1,5,1.0,0.01,1.0,1.0,1.0
1,10,1.0,0.01,1.0,1.0,1.0
1,50,1.0,0.01,1.0,1.0,1.0
1,5,0.75,0.01,1.0,1.0,1.0
1,10,0.75,0.01,1.0,1.0,1.0
1,50,0.75,0.01,1.0,1.0,1.0
1,5,0.5,0.01,1.0,1.0,1.0
1,10,0.5,0.01,1.0,1.0,1.0
1,50,0.5,0.01,1.0,1.0,1.0
1,5,0.25,0.01,0.97,0.935981273413217,1.004018726586783
1,10,0.25,0.01,1.0,1.0,1.0
1,50,0.25,0.01,1.0,1.0,1.0
0,5,1.0,0.01,1.0,1.0,1.0
0,10,1.0,0.01,1.0,1.0,1.0
0,50,1.0,0.01,0.93,0.8791182485051084,0.9808817514948917
0,5,0.75,0.01,1.0,1.0,1.0
0,10,0.75,0.01,1.0,1.0,1.0
0,50,0.75,0.01,0.96,0.9209215643219727,0.9990784356780272
0,5,0.5,0.01,1.0,1.0,1.0
0,10,0.5,0.01,1.0,1.0,1.0
0,50,0.5,0.01,0.94,0.8926400636260718,0.987359936373928
0,5,0.25,0.01,1.0,1.0,1.0
0,10,0.25,0.01,1.0,1.0,1.0
0,50,0.25,0.01,0.91,0.852929259298055,0.9670707407019451
1,5,1.0,0.01,1.0,1.0,1.0
1,10,1.0,0.01,1.0,1.0,1.0
1,50,1.0,0.01,1.0,1.0,1.0
1,5,0.75,0.01,1.0,1.0,1.0
1,10,0.75,0.01,1.0,1.0,1.0
1,50,0.75,0.01,1.0,1.0,1.0
1,5,0.5,0.01,1.0,1.0,1.0
1,10,0.5,0.01,1.0,1.0,1.0
1,50,0.5,0.01,1.0,1.0,1.0
1,5,0.25,0.01,0.96,0.9209215643219727,0.9990784356780272
1,10,0.25,0.01,1.0,1.0,1.0
1,50,0.25,0.01,1.0,1.0,1.0
0,5,1.0,0.01,1.0,1.0,1.0
0,10,1.0,0.01,1.0,1.0,1.0
0,50,1.0,0.01,1.0,1.0,1.0
0,5,0.75,0.01,1.0,1.0,1.0
0,10,0.75,0.01,1.0,1.0,1.0
0,50,0.75,0.01,1.0,1.0,1.0
0,5,0.5,0.01,1.0,1.0,1.0
0,10,0.5,0.01,1.0,1.0,1.0
0,50,0.5,0.01,1.0,1.0,1.0
0,5,0.25,0.01,1.0,1.0,1.0
0,10,0.25,0.01,1.0,1.0,1.0
0,50,0.25,0.01,1.0,1.0,1.0
1,5,1.0,0.01,1.0,1.0,1.0
1,10,1.0,0.01,1.0,1.0,1.0
1,50,1.0,0.01,1.0,1.0,1.0
1,5,0.75,0.01,1.0,1.0,1.0
1,10,0.75,0.01,1.0,1.0,1.0
1,50,0.75,0.01,1.0,1.0,1.0
1,5,0.5,0.01,1.0,1.0,1.0
1,10,0.5,0.01,1.0,1.0,1.0
1,50,0.5,0.01,1.0,1.0,1.0
1,5,0.25,0.01,1.0,1.0,1.0
1,10,0.25,0.01,1.0,1.0,1.0
1,50,0.25,0.01,1.0,1.0,1.0
0,5,1.0,0.01,1.0,1.0,1.0
0,10,1.0,0.01,1.0,1.0,1.0
0,50,1.0,0.01,1.0,1.0,1.0
0,5,0.75,0.01,1.0,1.0,1.0
0,10,0.75,0.01,1.0,1.0,1.0
0,50,0.75,0.01,1.0,1.0,1.0
0,5,0.5,0.01,1.0,1.0,1.0
0,10,0.5,0.01,1.0,1.0,1.0
0,50,0.5,0.01,1.0,1.0,1.0
0,5,0.25,0.01,1.0,1.0,1.0
0,10,0.25,0.01,1.0,1.0,1.0
0,50,0.25,0.01,1.0,1.0,1.0
1,5,1.0,0.01,1.0,1.0,1.0
1,10,1.0,0.01,1.0,1.0,1.0
1,50,1.0,0.01,1.0,1.0,1.0
1,5,0.75,0.01,1.0,1.0,1.0
1,10,0.75,0.01,1.0,1.0,1.0
1,50,0.75,0.01,1.0,1.0,1.0
1,5,0.5,0.01,1.0,1.0,1.0
1,10,0.5,0.01,1.0,1.0,1.0
1,50,0.5,0.01,1.0,1.0,1.0
1,5,0.25,0.01,0.97,0.935981273413217,1.004018726586783
1,10,0.25,0.01,1.0,1.0,1.0
1,50,0.25,0.01,1.0,1.0,1.0
0,5,1.0,0.01,1.0,1.0,1.0
0,10,1.0,0.01,1.0,1.0,1.0
0,50,1.0,0.01,1.0,1.0,1.0
0,5,0.75,0.01,1.0,1.0,1.0
0,10,0.75,0.01,1.0,1.0,1.0
0,50,0.75,0.01,1.0,1.0,1.0
0,5,0.5,0.01,1.0,1.0,1.0
0,10,0.5,0.01,1.0,1.0,1.0
0,50,0.5,0.01,1.0,1.0,1.0
0,5,0.25,0.01,1.0,1.0,1.0
0,10,0.25,0.01,1.0,1.0,1.0
0,50,0.25,0.01,0.97,0.935981273413217,1.004018726586783
1,5,1.0,0.01,1.0,1.0,1.0
1,10,1.0,0.01,1.0,1.0,1.0
1,50,1.0,0.01,1.0,1.0,1.0
1,5,0.75,0.01,1.0,1.0,1.0
1,10,0.75,0.01,1.0,1.0,1.0
1,50,0.75,0.01,1.0,1.0,1.0
1,5,0.5,0.01,1.0,1.0,1.0
1,10,0.5,0.01,1.0,1.0,1.0
1,50,0.5,0.01,1.0,1.0,1.0
1,5,0.25,0.01,1.0,1.0,1.0
1,10,0.25,0.01,1.0,1.0,1.0
1,50,0.25,0.01,1.0,1.0,1.0
0,5,1.0,0.01,1.0,1.0,1.0
0,10,1.0,0.01,1.0,1.0,1.0
0,50,1.0,0.01,1.0,1.0,1.0
0,5,0.75,0.01,1.0,1.0,1.0
0,10,0.75,0.01,1.0,1.0,1.0
0,50,0.75,0.01,1.0,1.0,1.0
0,5,0.5,0.01,1.0,1.0,1.0
0,10,0.5,0.01,1.0,1.0,1.0
0,50,0.5,0.01,1.0,1.0,1.0
0,5,0.25,0.01,1.0,1.0,1.0
0,10,0.25,0.01,1.0,1.0,1.0
0,50,0.25,0.01,1.0,1.0,1.0
1,5,1.0,0.01,1.0,1.0,1.0
1,10,1.0,0.01,1.0,1.0,1.0
1,50,1.0,0.01,1.0,1.0,1.0
1,5,0.75,0.01,1.0,1.0,1.0
1,10,0.75,0.01,1.0,1.0,1.0
1,50,0.75,0.01,1.0,1.0,1.0
1,5,0.5,0.01,1.0,1.0,1.0
1,10,0.5,0.01,1.0,1.0,1.0
1,50,0.5,0.01,1.0,1.0,1.0
1,5,0.25,0.01,1.0,1.0,1.0
1,10,0.25,0.01,1.0,1.0,1.0
1,50,0.25,0.01,1.0,1.0,1.0
0,5,1.0,0.01,1.0,1.0,1.0
0,10,1.0,0.01,1.0,1.0,1.0
0,50,1.0,0.01,1.0,1.0,1.0
0,5,0.75,0.01,1.0,1.0,1.0
0,10,0.75,0.01,1.0,1.0,1.0
0,50,0.75,0.01,1.0,1.0,1.0
0,5,0.5,0.01,1.0,1.0,1.0
0,10,0.5,0.01,1.0,1.0,1.0
0,50,0.5,0.01,1.0,1.0,1.0
0,5,0.25,0.01,1.0,1.0,1.0
0,10,0.25,0.01,1.0,1.0,1.0
0,50,0.25,0.01,1.0,1.0,1.0
1,5,1.0,0.01,1.0,1.0,1.0
1,10,1.0,0.01,1.0,1.0,1.0
1,50,1.0,0.01,1.0,1.0,1.0
1,5,0.75,0.01,1.0,1.0,1.0
1,10,0.75,0.01,1.0,1.0,1.0
1,50,0.75,0.01,1.0,1.0,1.0
1,5,0.5,0.01,1.0,1.0,1.0
1,10,0.5,0.01,1.0,1.0,1.0
1,50,0.5,0.01,1.0,1.0,1.0
1,5,0.25,0.01,1.0,1.0,1.0
1,10,0.25,0.01,1.0,1.0,1.0
1,50,0.25,0.01,1.0,1.0,1.0
0,5,1.0,0.01,1.0,1.0,1.0
0,10,1.0,0.01,1.0,1.0,1.0
0,50,1.0,0.01,1.0,1.0,1.0
0,5,0.75,0.01,1.0,1.0,1.0
0,10,0.75,0.01,1.0,1.0,1.0
0,50,0.75,0.01,1.0,1.0,1.0
0,5,0.5,0.01,1.0,1.0,1.0
0,10,0.5,0.01,1.0,1.0,1.0
0,50,0.5,0.01,1.0,1.0,1.0
0,5,0.25,0.01,1.0,1.0,1.0
0,10,0.25,0.01,1.0,1.0,1.0
0,50,0.25,0.01,0.94,0.892640063626072,0.9873599363739279
1,5,1.0,0.01,1.0,1.0,1.0
1,10,1.0,0.01,1.0,1.0,1.0
1,50,1.0,0.01,1.0,1.0,1.0
1,5,0.75,0.01,1.0,1.0,1.0
1,10,0.75,0.01,1.0,1.0,1.0
1,50,0.75,0.01,1.0,1.0,1.0
1,5,0.5,0.01,1.0,1.0,1.0
1,10,0.5,0.01,1.0,1.0,1.0
1,50,0.5,0.01,1.0,1.0,1.0
1,5,0.25,0.01,1.0,1.0,1.0
1,10,0.25,0.01,1.0,1.0,1.0
1,50,0.25,0.01,1.0,1.0,1.0
0,5,1.0,0.01,1.0,1.0,1.0
0,10,1.0,0.01,1.0,1.0,1.0
0,50,1.0,0.01,1.0,1.0,1.0
0,5,0.75,0.01,1.0,1.0,1.0
0,10,0.75,0.01,1.0,1.0,1.0
0,50,0.75,0.01,1.0,1.0,1.0
0,5,0.5,0.01,1.0,1.0,1.0
0,10,0.5,0.01,1.0,1.0,1.0
0,50,0.5,0.01,1.0,1.0,1.0
0,5,0.25,0.01,1.0,1.0,1.0
0,10,0.25,0.01,1.0,1.0,1.0
0,50,0.25,0.01,0.99,0.9701578304849132,1.0098421695150868
1,5,1.0,0.01,1.0,1.0,1.0
1,10,1.0,0.01,1.0,1.0,1.0
1,50,1.0,0.01,1.0,1.0,1.0
1,5,0.75,0.01,1.0,1.0,1.0
1,10,0.75,0.01,1.0,1.0,1.0
1,50,0.75,0.01,1.0,1.0,1.0
1,5,0.5,0.01,1.0,1.0,1.0
1,10,0.5,0.01,1.0,1.0,1.0
1,50,0.5,0.01,1.0,1.0,1.0
1,5,0.25,0.01,1.0,1.0,1.0
1,10,0.25,0.01,1.0,1.0,1.0
1,50,0.25,0.01,1.0,1.0,1.0
